,Unnamed: 0,class,path,width,height
0,0,butterfly,imgs/butterfly/e030b20928e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,426,640
1,1,butterfly,imgs/butterfly/e030b20929e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,640,457
2,2,butterfly,imgs/butterfly/e030b2092be90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,426,640
3,3,butterfly,imgs/butterfly/e030b2092ce90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,425,640
4,4,butterfly,imgs/butterfly/e030b2092de90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,426,640
5,5,butterfly,imgs/butterfly/e030b20a20e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,640,454
6,6,butterfly,imgs/butterfly/e132b60e2af51c22d2524518b7444f92e37fe5d404b0144390f8c770a3e5b7_640.jpg,640,426
7,7,butterfly,imgs/butterfly/e134b50a2efc1c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,640,439
8,8,butterfly,imgs/butterfly/e830b30a20f5003ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.png,640,416
9,9,butterfly,imgs/butterfly/e830b30a20f6033ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.png,640,375
10,10,butterfly,imgs/butterfly/e830b30a20f6053ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.png,640,386
11,11,butterfly,imgs/butterfly/e831b00c2ef3093ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,640,426
12,12,butterfly,imgs/butterfly/e831b10b2ee90021d85a5854ee454296eb70e3c818b413449df6c87dafef_640.jpg,640,426
13,13,butterfly,imgs/butterfly/e831b30a28f21c22d2524518b7444f92e37fe5d404b0144390f8c770a3e5b7_640.jpg,640,480
14,14,butterfly,imgs/butterfly/e831b50f2df71c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,640,546
15,15,butterfly,imgs/butterfly/e832b00a2df11c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,640,425
16,16,butterfly,imgs/butterfly/e832b10a2fe90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg,640,480
17,17,butterfly,imgs/butterfly/e832b10e2efc043ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,640,426
18,18,butterfly,imgs/butterfly/e832b4082df5003ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,640,426
19,19,butterfly,imgs/butterfly/e832b60c2ffc1c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,640,480
20,20,butterfly,imgs/butterfly/e832b7062ff6093ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.png,640,440
21,21,butterfly,imgs/butterfly/e832b7072ef41c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,640,426
22,22,butterfly,imgs/butterfly/e832b70c2af0043ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,640,640
23,23,butterfly,imgs/butterfly/e832b70e2bf71c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,640,511
24,24,butterfly,imgs/butterfly/e832b70e2df21c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,640,480
25,25,butterfly,imgs/butterfly/e833b00e2ffd053ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,640,426
26,26,butterfly,imgs/butterfly/e833b20a2ff0063ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,640,426
27,27,butterfly,imgs/butterfly/e833b40a28fd093ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,640,425
28,28,butterfly,imgs/butterfly/e833b40a2ff6053ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,640,421
29,29,butterfly,imgs/butterfly/e833b40e28f01c22d2524518b7444f92e37fe5d404b0144390f8c770a1edb6_640.jpg,426,640
30,30,butterfly,imgs/butterfly/e833b50b29fc083ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,640,426
